listing_id,district,price_pen,maintenance_fee,area_total,bedrooms,bathrooms,parking_spaces,address,urbanization,photos_count
149430106,barranco,595000.0,400.0,70.0,2,2,1,Jirón Pedro Martinto 200,Barranco,1
148729318,barranco,653000.0,600.0,94.0,1,1,1,Pedro Martinto Cerca al Malecón Paul Harris,Barranco,1
149543768,barranco,438600.0,300.0,45.0,1,1,1,av san Martin  al 100 45m2 CON 01 Cochera,Barranco,1
149324096,barranco,291550.0,70.0,62.0,2,1,0,Calle Doña Delmira  al 400,Barranco,1
148320197,barranco,486407.0,350.0,43.0,1,1,1,Avenida Pedro de Osma 346,Barranco,1
148094377,barranco,700000.0,400.0,83.0,3,2,1,Jirón Fedelli 101,Barranco,1
142423411,barranco,500000.0,200.0,76.0,2,2,1,REPUBLICA DE PANAMA 348,Barranco,1
148618616,barranco,472600.0,300.0,51.0,1,1,1,Avenida San Martín 230,Barranco,1
148816519,barranco,734800.0,450.0,92.0,3,2,1,Felipe Sassone 183,Barranco,1
149273888,barranco,670000.0,300.0,126.0,3,2,1,Jirón Juan Fanning 212,Barranco,1
149264820,barranco,650000.0,450.0,129.0,2,2,1,Av. Republica de Panama 330 Barranco,Barranco,1
146184980,barranco,860200.0,0.0,100.0,2,2,1,Dirección no informada,Barranco,1
149765117,barranco,510000.0,0.0,51.0,2,2,0,Pedro Martino 114,Barranco,1
149386890,barranco,590000.0,400.0,74.0,1,1,1,Jirón Juan Fanning,Barranco,1
144036713,barranco,5144000.0,2500.0,425.0,3,3,3,Malecon Paul Harris,Barranco,1
149670945,barranco,1120000.0,550.0,168.0,3,5,2,Dulanto  117 - Barranco,Barranco,1
149538000,barranco,563000.0,330.0,56.0,2,2,1,Jirón Fedelli 101,Barranco,1
149751815,barranco,578000.0,0.0,55.0,2,2,0,Bustamante 195 Barranco,Barranco,1
146514842,barranco,710000.0,341.0,173.0,3,3,1,Pasaje Pedro Solari 104,Barranco,1
147790018,barranco,840910.0,250.0,74.0,2,2,1,JR. Carlos Arrieta 380,Barranco,1
149653350,barranco,566000.0,350.0,56.0,2,2,1,Pedro de Osma,Barranco,1
149189652,barranco,370600.0,231.0,38.0,1,1,1,Av. Pedro de Osma 300,Barranco,10
149490623,barranco,382375.0,0.0,106.0,2,1,1,Avenida Grau,Barranco,10
149829887,barranco,527000.0,350.0,58.0,2,2,1,Jirón Pedro Martinto,Barranco,1
149186721,barranco,3990500.0,1600.0,312.0,3,3,3,Dirección no informada,Barranco,1
149100542,barranco,1265000.0,700.0,121.0,2,3,2,Av. El Sol Oeste cdra 4,Barranco,1
145081493,barranco,1776000.0,0.0,241.0,3,3,1,Barranco - Miraflores,Barranco,1
147612441,barranco,539000.0,320.0,75.0,2,2,1,JR. DELUCCHI,Barranco,1
149791240,barranco,503176.0,0.0,47.0,1,1,0,PY Barranco 6,Barranco,1
148763445,barranco,5661600.0,0.0,586.0,4,4,6,Barranco,Barranco,1
148851574,barranco,1715000.0,650.0,231.0,4,3,2,Parque Manuel Gonzales Prada,Barranco,1
149791253,barranco,554500.0,0.0,59.0,2,2,0,Departamentos de Estreno en Jr. Carlos Arrieta  al 300- Barranco 2d-3d,Barranco,1
148320203,barranco,553498.0,0.0,50.0,2,1,1,Avenida Pedro de Osma 346,Barranco,1
149095271,barranco,589750.0,310.0,108.0,3,2,0,Paseo de la República  al 6400,Barranco,1
149156330,barranco,580000.0,370.0,62.0,1,2,0,Jirón Martinez de Pinillos 100,Barranco,1
149371951,barranco,552100.0,0.0,58.0,2,2,0,Jr. Carlos Arrieta 310,Barranco,1
147229530,barranco,810300.0,490.0,83.0,3,3,1,TEODOSIO PARREÑO,Barranco,1
147991972,barranco,2235156.0,1450.0,322.0,3,3,2,malecon paul harris,Barranco,1
148816292,barranco,391000.0,300.0,44.0,1,1,1,Av. Pedro de Osma,Barranco,1
148960984,barranco,651300.0,0.0,116.0,3,2,1,Jiron Buenaventura Aguirre 206  Barranco  al 200,Barranco,1
149642873,barranco,5300000.0,720.0,560.0,3,4,0,Puente de la Paz,Barranco,1
149266063,barranco,437500.0,0.0,51.0,1,1,0,Av. San Martín,Barranco,1
148249807,barranco,734660.0,0.0,104.0,3,2,2,Av. San Martin 617 Barranco  al 600,Barranco,1
147145682,barranco,458217.0,210.0,44.0,1,1,0,Juan Fanning,Barranco,1
149791241,barranco,579690.0,0.0,42.0,1,1,1,Avenida El Sol Oeste al 400,Barranco,10
149698918,barranco,735900.0,440.0,88.0,2,2,2,Av. San Martín 227,Barranco,10
149791245,barranco,391579.0,0.0,39.0,1,1,1,Avenida San Martín  al 600,Barranco,10
149507446,barranco,593000.0,370.0,102.0,3,2,1,Avenida Paseo de la República 6465,Barranco,1
149385294,barranco,435480.0,200.0,40.0,1,1,0,Av. Almte. Miguel Grau,Barranco,1
147708893,barranco,445380.0,0.0,46.0,1,2,0,Av El Sol Oeste,Barranco,1
149449649,barranco,446275.0,250.0,38.0,1,1,1,Grau al 1430,Barranco,1
148857576,barranco,7684000.0,3100.0,786.0,4,5,4,Jr. Batalla de Junin,Barranco,1
148804284,barranco,453600.0,0.0,57.0,2,2,1,Av. Almirante Miguel Grau  al 1400,Barranco,1
145979419,barranco,675250.0,400.0,72.0,2,2,0,Fedelli al 100,Barranco,1
149651540,barranco,289000.0,120.0,45.0,1,1,0,Jiron Corpancho Barranco,Barranco,1
149791248,barranco,578850.0,0.0,79.0,2,2,1,2 de Mayo al 100,Barranco,1
147239693,barranco,434868.0,170.0,39.0,1,1,0,EL SOL,Barranco,1
149140737,barranco,557000.0,300.0,58.0,2,2,1,Arrieta al 370,Barranco,1
148826663,barranco,2840000.0,0.0,170.0,3,3,2,"Av.el SOL  al 300-venta de Departamento Frente al Mar, 03 Dormitorios 02 Cocheras-barranco",Barranco,1
148969028,barranco,960229.0,0.0,89.0,3,2,1,Calle Enrique Barrón - Departamento de Estreno en Venta - A 2 Cuadras de la Bajada Armendariz,Barranco,1
148832648,barranco,510000.0,380.0,60.0,2,2,1,Av. El Sol Este 176,Barranco,1
148475534,barranco,620803.0,0.0,60.0,1,1,1,Pasaje Solari,Barranco,1
149671653,barranco,454245.0,210.0,42.0,1,1,0,Av. Almte. Miguel Grau,Barranco,1
149325041,barranco,405000.0,0.0,40.0,1,1,0,Jr Enrique Barrón  al 600,Barranco,1
148700541,barranco,425600.0,175.0,45.0,1,1,0,Av. Almte. Miguel Grau 1500,Barranco,1
144655171,barranco,995600.0,0.0,83.0,2,2,0,PEDRO DE OSMA,Barranco,1
149864586,barranco,513000.0,320.0,73.0,2,2,1,Jirón Enrique Delucchi al 200,Barranco,1
148741476,barranco,5527500.0,0.0,570.0,2,3,6,"Av. 28 de Julio N 4, Piso 6, Barranco",Barranco,1
149689169,barranco,554500.0,0.0,59.0,2,2,1,Jr. Carlos Arrieta - Departamento en Venta - A 5 Minutos de la Bajada Armendariz,Barranco,1
148637567,barranco,567840.0,350.0,56.0,2,2,1,Av. Pedro de Osma 346,Barranco,1
145081481,barranco,675500.0,0.0,77.0,2,2,1,Límite Barranco y Miraflores,Barranco,1
149790236,barranco,519000.0,0.0,73.0,2,2,1,Jirón Juan Fanning al 300,Barranco,1
148574926,barranco,544000.0,350.0,65.0,1,1,1,Felipe Sassone barranco,Barranco,1
149309081,barranco,1164500.0,400.0,130.0,3,2,1,Jirón Las Mimosas 287,Barranco,1
148694002,barranco,376320.0,40.0,76.0,2,1,0,"Jr. Ignacio Mariategui, 2xx, Dpto 1xx, Barranco",Tejadita,10
147794347,barranco,655000.0,500.0,132.0,3,3,1,AURELIO SOUZA  4xx,Barranco,10
149416521,barranco,662300.0,0.0,110.0,2,2,0,Límite Barranco con Miraflores,Barranco,1
144582173,barranco,574600.0,360.0,55.0,2,2,1,Pedro de Osma,Barranco,1
149849874,barranco,469990.0,217.0,44.0,1,1,1,Avenida San Martín 765,Barranco,1
141719617,barranco,1715000.0,600.0,176.0,3,3,2,Av. El Sol oeste esquina Mimosas,Barranco,1
148901577,barranco,735240.0,430.0,80.0,2,2,1,Pasaje Fidelli 101,Barranco,1
149760565,barranco,455000.0,280.0,52.0,1,1,1,Av. El Sol Oeste 145,Barranco,1
149035465,barranco,550000.0,250.0,78.0,3,2,1,Jr. Jaen 258,Barranco,1
149254659,barranco,1224000.0,890.0,247.0,3,3,2,Ramon Ribeyro  8,Barranco,1
148276260,barranco,323000.0,140.0,70.0,2,1,0,av franciso bolognesi,San Ignacio,1
90133051,barranco,620000.0,350.0,73.0,2,2,0,AV GRAU Y CALLE FEDELLI BARRANCO,Barranco,1
149624411,barranco,950000.0,400.0,100.0,2,2,2,Calle Ramón Ribeyro,Barranco,1
146446296,barranco,605631.0,0.0,82.0,2,2,0,Jr. 2 de Mayo 155 Barranco,Barranco,1
149869039,barranco,674900.0,520.0,73.0,1,2,1,Calle Tacna 500,Barranco,1
