listing_id,listing_url,scraping_date,district_scraped,source,price_pen,price_usd,maintenance_fee,area_total,bedrooms,bathrooms,parking_spaces,address,urbanization,district,photos_count,json_name
149812222,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-santa-teresa-santiago-de-surco-3-dormitorios-149812222?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=9&n_pos=9,2026-05-18,santiago-de-surco,urbania,749100.0,227000.0,435.0,140,3.0,4.0,1.0,Avenida Coronel Reynaldo Vivanco,Santa Teresa,Santiago de Surco,1,Departamento · 140m² · 3 Dormitorios · 1 Estacionamiento
147983678,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-santiago-de-surco-lima-3-dormitorios-147983678?n_src=Listado&n_pills=Piscina&n_pg=9&n_pos=10,2026-05-18,santiago-de-surco,urbania,1168000.0,350000.0,550.0,223,3.0,3.0,1.0,Puerto Pizarro 150,Santiago de Surco,Lima,1,Departamento · 223m² · 3 Dormitorios · 1 Estacionamiento
149632292,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-santiago-de-surco-lima-3-dormitorios-149632292?n_src=Listado&n_pg=9&n_pos=11,2026-05-18,santiago-de-surco,urbania,884000.0,260000.0,580.0,220,3.0,3.0,2.0,Jr. Las Gardenias al 300,Santiago de Surco,Lima,1,Departamento · 110m² · 3 Dormitorios · 2 Estacionamientos
147506502,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-santiago-de-surco-lima-3-dormitorios-147506502?n_src=Listado&n_pills=Cuartos+de+servicio&n_pg=9&n_pos=12,2026-05-18,santiago-de-surco,urbania,1207500.0,345000.0,300.0,288,3.0,3.0,2.0,"Jr. Domingo de la Presa Cdra. 1, Valle Hermoso de Monterrico, Surco",Santiago de Surco,Lima,1,Departamento · 185m² · 3 Dormitorios · 2 Estacionamientos
149446202,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-santiago-de-surco-lima-2-dormitorios-149446202?n_src=Listado&n_pills=Seguridad&n_pg=9&n_pos=13,2026-05-18,santiago-de-surco,urbania,918000.0,270000.0,,133,2.0,1.0,1.0,Paramonga,Santiago de Surco,Lima,1,Departamento · 133m² · 2 Dormitorios · 1 Estacionamiento
142759463,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-santiago-de-surco-lima-3-dormitorios-142759463?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=9&n_pos=14,2026-05-18,santiago-de-surco,urbania,1821000.0,495000.0,,320,3.0,4.0,2.0,Ca. La Emancipacion 200,Santiago de Surco,Lima,1,Departamento · 320m² · 3 Dormitorios · 2 Estacionamientos
149870384,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-santiago-de-surco-lima-4-dormitorios-149870384?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=9&n_pos=15,2026-05-18,santiago-de-surco,urbania,850000.0,244000.0,300.0,195,4.0,4.0,1.0,Jirón Domingo de la Presa,Santiago de Surco,Lima,1,Departamento · 195m² · 4 Dormitorios · 1 Estacionamiento
59050698,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-golf-los-incas-santiago-de-surco-3-dormitorios-59050698?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=9&n_pos=16,2026-05-18,santiago-de-surco,urbania,1400100.0,359000.0,950.0,178,3.0,3.0,2.0,CALLE LAS AGATAS 175 SURCO,Golf Los Incas,Santiago de Surco,1,Departamento · 178m² · 3 Dormitorios · 2 Estacionamientos
149726937,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-las-gardenias-santiago-de-surco-3-dormitorios-149726937?n_src=Listado&n_pills=Seguridad&n_pg=9&n_pos=17,2026-05-18,santiago-de-surco,urbania,1444200.0,415000.0,650.0,267,3.0,3.0,2.0,Calle La Presa,Las Gardenias,Santiago de Surco,1,Departamento · 267m² · 3 Dormitorios · 2 Estacionamientos
147734584,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-monterrico-santiago-de-surco-3-dormitorios-147734584?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=9&n_pos=18,2026-05-18,santiago-de-surco,urbania,1796400.0,499000.0,600.0,226,3.0,3.0,2.0,Calle Vía Lactea al 200,Monterrico,Santiago de Surco,1,Departamento · 226m² · 3 Dormitorios · 2 Estacionamientos
146739831,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-santiago-de-surco-lima-3-dormitorios-146739831?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=9&n_pos=19,2026-05-18,santiago-de-surco,urbania,1088000.0,320000.0,900.0,182,3.0,4.0,2.0,Monte Real 141,Santiago de Surco,Lima,1,Departamento · 182m² · 3 Dormitorios · 2 Estacionamientos
148801421,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-los-alamos-de-monterrico-santiago-de-surco-3-dormitorios-148801421?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=9&n_pos=20,2026-05-18,santiago-de-surco,urbania,845000.0,245000.0,400.0,157,3.0,3.0,3.0,El Herraje,Los Alamos De Monterrico,Santiago de Surco,1,Departamento · 157m² · 3 Dormitorios · 3 Estacionamientos
147989411,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-chacarilla-del-estanque-santiago-de-surco-3-dormitorios-147989411?n_src=Listado&n_pills=Piscina&n_pg=9&n_pos=21,2026-05-18,santiago-de-surco,urbania,1122000.0,330000.0,850.0,202,3.0,4.0,2.0,jr Monte Real,Chacarilla Del Estanque,Santiago de Surco,1,Departamento · 149m² · 3 Dormitorios · 2 Estacionamientos
148261267,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-chacarilla-del-estanque-santiago-de-surco-3-dormitorios-148261267?n_src=Listado&n_pills=Cuartos+de+servicio&n_pg=9&n_pos=22,2026-05-18,santiago-de-surco,urbania,1394400.0,415000.0,800.0,196,3.0,3.0,2.0,a pasos del Parque Doig,Chacarilla Del Estanque,Santiago de Surco,1,Departamento · 196m² · 3 Dormitorios · 2 Estacionamientos
147927504,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-las-casuarinas-santiago-de-surco-3-dormitorios-147927504?n_src=Listado&n_pills=Seguridad&n_pg=9&n_pos=23,2026-05-18,santiago-de-surco,urbania,884000.0,260000.0,550.0,220,3.0,2.0,2.0,CRISANTEMOS,Las Casuarinas,Santiago de Surco,1,Departamento · 220m² · 3 Dormitorios · 2 Estacionamientos
148569624,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-santiago-de-surco-lima-4-dormitorios-148569624?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=9&n_pos=24,2026-05-18,santiago-de-surco,urbania,1390250.0,415000.0,950.0,283,4.0,3.0,2.0,Pasaje Estepa Rusa 181,Santiago de Surco,Lima,1,Departamento · 283m² · 4 Dormitorios · 2 Estacionamientos
149339867,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-golf-los-incas-santiago-de-surco-3-dormitorios-149339867?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=9&n_pos=25,2026-05-18,santiago-de-surco,urbania,1900600.0,559000.0,,316,3.0,3.0,3.0,Av. Circunvalación del Golf los Incas 595,Golf Los Incas,Santiago de Surco,1,Departamento · 316m² · 3 Dormitorios · 3 Estacionamientos
148949251,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-chacarilla-del-estanque-santiago-de-surco-3-dormitorios-148949251?n_src=Listado&n_pills=Seguridad&n_pg=9&n_pos=26,2026-05-18,santiago-de-surco,urbania,1487500.0,425000.0,1050.0,213,3.0,3.0,2.0,Calle Monte Flor 244,Chacarilla Del Estanque,Santiago de Surco,1,Departamento · 209m² · 3 Dormitorios · 2 Estacionamientos
149585115,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-higuereta-santiago-de-surco-2-dormitorios-149585115?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=9&n_pos=27,2026-05-18,santiago-de-surco,urbania,599860.0,178000.0,200.0,102,2.0,2.0,1.0,Av VALLES DEL SUR XXX - 1XX,Higuereta,Santiago de Surco,1,Departamento · 102m² · 2 Dormitorios · 1 Estacionamiento
147971310,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-santiago-de-surco-lima-3-dormitorios-147971310?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=9&n_pos=28,2026-05-18,santiago-de-surco,urbania,772800.0,230000.0,,119,3.0,3.0,1.0,Av. Guillermo More 1XX,Santiago de Surco,Lima,1,Departamento · 119m² · 3 Dormitorios · 1 Estacionamiento
149788864,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-cerros-de-camacho-santiago-de-surco-4-dormitorios-149788864?n_src=Listado&n_pills=Seguridad&n_pg=9&n_pos=29,2026-05-18,santiago-de-surco,urbania,2178050.0,635000.0,,426,4.0,4.0,4.0,Av. Cerros de Camacho al 700,Cerros De Camacho,Santiago de Surco,1,Departamento · 383m² · 4 Dormitorios · 4 Estacionamientos
149368353,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-cerros-de-camacho-santiago-de-surco-3-dormitorios-149368353?n_src=Listado&n_pills=Piscina&n_pg=9&n_pos=30,2026-05-18,santiago-de-surco,urbania,1457250.0,435000.0,1100.0,263,3.0,3.0,2.0,Avenida Cerros de Camacho 1050,Cerros De Camacho,Santiago de Surco,1,Departamento · 263m² · 3 Dormitorios · 2 Estacionamientos
148201563,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-santiago-de-surco-lima-2-dormitorios-148201563?n_src=Listado&n_pills=Piscina&n_pg=10&n_pos=1,2026-05-18,santiago-de-surco,urbania,998000.0,,700.0,121,2.0,3.0,2.0,Av. Pedro Venturo,Santiago de Surco,Lima,10,Departamento · 188m² · 2 Dormitorios · 2 Estacionamientos
149454474,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-higuereta-santiago-de-surco-3-dormitorios-149454474?n_src=Listado&n_pills=Seguridad&n_pg=10&n_pos=2,2026-05-18,santiago-de-surco,urbania,914250.0,265000.0,,121,3.0,2.0,2.0,Santiago,Higuereta,Santiago de Surco,10,Departamento · 121m² · 3 Dormitorios · 2 Estacionamientos
149726791,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-santiago-de-surco-lima-3-dormitorios-149726791?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=10&n_pos=3,2026-05-18,santiago-de-surco,urbania,845250.0,245000.0,700.0,140,3.0,2.0,2.0,Calle Madreselvas xxx santiago de surco,Santiago de Surco,Lima,10,Departamento · 140m² · 3 Dormitorios · 2 Estacionamientos
149482304,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-santiago-de-surco-lima-2-dormitorios-149482304?n_src=Listado&n_pg=10&n_pos=4,2026-05-18,santiago-de-surco,urbania,399777.0,117999.0,,100,2.0,2.0,,Doña Hortencia 170,Santiago de Surco,Lima,10,Departamento · 100m² · 2 Dormitorios
